chr	start	cen.left.base	cen.right.base	end
1	587096	122026460	125184587	248956422
2	500037	92188146	94090557	242193529
3	458352	90772459	93655574	198295559
4	506244	49708101	51743951	190214555
5	500107	46485901	50059807	181538259
6	500015	58553889	59829934	170805979
7	460455	58169654	60828234	159345973
8	550278	44033745	45877265	145138636
9	500075	43236168	45518558	138394717
10	454076	39686683	41593521	133797422
11	500056	51078349	54425074	135086622
12	390904	34769408	37185252	133275309
13	1	16000001	18051248	114364328
14	1	16000001	18173523	107043718
15	1	17000001	19725254	101991189
16	450031	36311159	38280682	90338345
17	596810	22813680	26885980	83257441
18	500037	15460900	20861206	80373285
19	500012	24498981	27190874	58617616
20	519540	26436233	30038348	64444167
21	1	10864561	12915808	46709983
22	1	12954789	15054318	50818468
23	1	58605580	62412542	156040895
